일자,카테고리,순위,브랜드,상품명,가격
2026-01-07,포인트_주간,81,クリオ,クリスタルグラムバーム,1700
2026-01-07,포인트_주간,82,コスノリ,アイラッシュコーティングセラム,1500
2026-01-07,포인트_주간,83,Dinto,ブラーグロウイリップティント企画セット,1361
2026-01-07,포인트_주간,84,バニラコ,ボリュームリッププランパー,1850
2026-01-07,포인트_주간,85,クリオ,エッセンシャルリップチークタップ,1980
2026-01-07,포인트_주간,86,Oddtype,アンシーンバルーンティント,1889
2026-01-07,포인트_주간,87,カラーグラム,タンフルグラスティントミルク,1190
2026-01-07,포인트_주간,88,AOU,マットふわバーム,1400
2026-01-07,포인트_주간,89,Laka,ラブシルクブラッシュ,1980
2026-01-07,포인트_주간,90,トゥークールフォースクール,スウェイリップベルベット,1740
2026-01-07,포인트_주간,91,ペリペラ,スピーディースキニーブロウ,580
2026-01-07,포인트_주간,92,デイジーク,ムードシャドウパレット,4490
2026-01-07,포인트_주간,93,VIDIVICI,ペプチドバターティントバーム,1890
2026-01-07,포인트_주간,94,トゥークールフォースクール,アイグリッツ,1413
2026-01-07,포인트_주간,95,ハートパーセント,ドットオンムードワンウェイグロイティント,1683
2026-01-07,포인트_주간,96,ミュード,アイラッシュティンティングセラムショット,1530
2026-01-07,포인트_주간,97,ペリペラ,インクムードグロイティント,1091
2026-01-07,포인트_주간,98,トニーモリー,パーフェクトリプスショッキングリップ,1680
2026-01-07,포인트_주간,99,ウェイクメイク,ソフトシアーマルチパレット,2450
2026-01-07,포인트_주간,100,BBIA,ローティント,1500
2026-01-12,전체_주간,1,メディキューブ,ブースタープロ,32000
2026-01-12,전체_주간,2,23yearsold,ダーマシンコンシーラー,1580
2026-01-12,전체_주간,3,アヌア,"PDRNヒアルロン酸カプセル100セラム, 30ml",3200
2026-01-12,전체_주간,4,エイプリルスキン,"ヒーロークッション, 本品+レフィル",3700
2026-01-12,전체_주간,5,アヌア,"ビタミン10PORESTRIXセラム, 20ml",2800
2026-01-12,전체_주간,6,アヌア,"レチノール0.3ナイアシンリニューイングセラム, 30ml",3200
2026-01-12,전체_주간,7,NAMING,オーバーデューグロッシーリップティント,1760
2026-01-12,전체_주간,8,COSRX,"RXザアルファアルブチン2ニキビ跡ケアセラム, 50ml",2356
2026-01-12,전체_주간,9,ululis,福袋 2025 ハッピーバッグ,4799
2026-01-12,전체_주간,10,AZTK,ジェリーカラーチークリキッド,1290
2026-01-12,전체_주간,11,ブラン,"マジックティーツリーオイル, 20ml",2790
2026-01-12,전체_주간,12,2ªN,デュアルチーク,1870
2026-01-12,전체_주간,13,トゥークールフォースクール,プロタージュペンシル,1380
2026-01-12,전체_주간,14,"dear,Klairs","PDRNビタペプチド毛穴リペアセラム, 35ml",2600
2026-01-12,전체_주간,15,ロムアンド,ハンオールブロウカラ,1210
2026-01-12,전체_주간,16,AOU,ブレンディングリップペンシル,1119
2026-01-12,전체_주간,17,トゥークールフォースクール,アートクラススマッジングアンダーライナー,1399
2026-01-12,전체_주간,18,スキンアンドラブ,"グルタチオントナー, 200ml",2590
2026-01-12,전체_주간,19,Brighte,エレキリフトリフ ト,21800
2026-01-12,전체_주간,20,アヌア,"ナイアシンアミド10%ダークスポットセラム, 30ml",2800
2026-01-12,전체_주간,21,アヌア,"PDRNヒアルロン酸ハイドレイティングミスト, 100ml",2650
2026-01-12,전체_주간,22,メディキューブ,"コウジ酸ビタナイアシントナー, 250ml",2300
2026-01-12,전체_주간,23,SKIN1004,"センテラアンプル, 55ml",2375
2026-01-12,전체_주간,24,lily eve,"グロウターンアンプル, 100ml, 2個",5300
2026-01-12,전체_주간,25,アヌア,"ドクダミポアコントロールクレンジングオイル, 200ml",2300
2026-01-12,전체_주간,26,ナンバーズイン,"5番 白玉グルタチオン100xTXA10集中トーニング美容液, 2個",4000
2026-01-12,전체_주간,27,CHASIN’ RABBITS,"オールアバウトグロウカバークリーム, 35ml",999
2026-01-12,전체_주간,28,ミルクタッチ,ジェリーフィットティンティッドグロウティント,1760
2026-01-12,전체_주간,29,ブラン,"皮脂ゼロエアフィットクッション, 本品",2980
2026-01-12,전체_주간,30,Laka,スージングプレップリップマスク,1890
2026-01-12,전체_주간,31,ティルティル,マスクフィットルビーメッシュクッション,2673
2026-01-12,전체_주간,32,ABOUT TONE,"スキンレイヤーフィットファンデーション, 3ml",350
2026-01-12,전체_주간,33,Redence,"トーン&スポットコレクターアンプル, 30ml",2565
2026-01-12,전체_주간,34,VTコスメティックス,"PDRNカプセルクリーム100, 50ml",2200
2026-01-12,전체_주간,35,Kopher,"キュリペアメラクリーム, 35ml",3700
2026-01-12,전체_주간,36,ブラン,"マジックシカクリーム, 60ml",4790
2026-01-12,전체_주간,37,FEG,FEGまつ毛美容液,999
2026-01-12,전체_주간,38,リジュラン,PDRN化粧水＋クリームセット,14000
2026-01-12,전체_주간,39,セルフュージョンC,"コラーゲンPDRNアンプル, 35ml",3080
2026-01-12,전체_주간,40,KISOCARE,"ハイドロクリームPHQ-8, 20g",1707
2026-01-12,전체_주간,41,ABOUT TONE,スキンレイヤーフィットファンデーション,3080
2026-01-12,전체_주간,42,KATAN,"シカダーマヒットセラム5, 30g",3740
2026-01-12,전체_주간,43,COSRX,"RXザビタミンC23セラム2世代, 20g",2546
2026-01-12,전체_주간,44,ウェイクメイク,スパチュラワイドファンデーションブラシ,1850
2026-01-12,전체_주간,45,MARSHIQUE,セルフまつげパーマキット,3250
2026-01-12,전체_주간,46,ミルクタッチ,スプレッドフィットブラーティント,1969
2026-01-12,전체_주간,47,フィー,"3Dボリューミンググロス, 2個",3100
2026-01-12,전체_주간,48,JUDYDOLL,メリハリマスターパレット,2090
2026-01-12,전체_주간,49,オフラ,"ハイライター, ミニ",2541
2026-01-12,전체_주간,50,soaddicted,アイラッシュコンディショニングセラム アドバンス,11000
2026-01-12,전체_주간,51,イズエンツリー,"超低分子ヒアルロン酸トナー, 300ml",2420
2026-01-12,전체_주간,52,ホリカホリカ,マイフェイブピースシャドウ,900
2026-01-12,전체_주간,53,アヌア,"ライスブライトニング酵素洗顔パウダー, 40g",1950
2026-01-12,전체_주간,54,Mooekiss,ダブルエッセンスリップティント,1790
2026-01-12,전체_주간,55,ティルティル,"マスクフィットトーンアップエッセンス, 30ml",2970
2026-01-12,전체_주간,56,2ªN,ピュアグラッシュハイライター,1430
2026-01-12,전체_주간,57,One-day's you,ダクトパッドセット,2650
2026-01-12,전체_주간,58,エイプリルスキン,ヒーローリップタトゥーティント,1950
2026-01-12,전체_주간,59,ByUR,セラムフィットルースフェイスパウダー,2090
2026-01-12,전체_주간,60,AOU,"トーンアップぽよんクリーム, 100ml",1393
2026-01-12,전체_주간,61,カラーグラム,ギークヌードカラーカバーティント,1190
2026-01-12,전체_주간,62,スキンアンドラブ,ケアベアコラボ新年一押しセット,5890
2026-01-12,전체_주간,63,BnD,"アンダーアームクリーム, 100g",3790
2026-01-12,전체_주간,64,Kopher,"キュリペアSOSメルダーシステム, 1.5ml, 20本",5600
2026-01-12,전체_주간,65,TFIT,カバーアッププロコンシーラー,1485
2026-01-12,전체_주간,66,デイジーク,シャドウパレット,3800
2026-01-12,전체_주간,67,LUAFEE,"ホワイトアプリコット, 30ml",4350
2026-01-12,전체_주간,68,アヌア,"3セラミドパンテノールモイスチャーバリアクリーム, 100ml",2800
2026-01-12,전체_주간,69,EYE2IN,セルフまつげパーマ9種10回分セット,2499
2026-01-12,전체_주간,70,メディキューブ,"ゼロ毛穴パッド 2.0, 70枚",2400
2026-01-12,전체_주간,71,Pyt,ゲンバリップティント,1980
2026-01-12,전체_주간,72,原料工房,"アズレンブルークレンジングバーム, 100ml",2200
2026-01-12,전체_주간,73,manyo,"ピュアクレンジングオイル, 200ml",2430
2026-01-12,전체_주간,74,BRAYE,シングロウティント,1680
2026-01-12,전체_주간,75,クリオ,プロアイパレットエアー,2990
2026-01-12,전체_주간,76,UIQ,"バイオームバリアパンテンシブクリーム, 50ml",2890
2026-01-12,전체_주간,77,Laka,デビルリップ,1880
2026-01-12,전체_주간,78,ルナ,コンシールブレンダーパレット,2350
2026-01-12,전체_주간,79,ミルクタッチ,アイコニックマスカラ,1628
2026-01-12,전체_주간,80,コスノリ,ロングアクティブアイラッシュセラム,1870
2026-01-12,전체_주간,81,ロムアンド,ザジューシーラスティングティント,1320
2026-01-12,전체_주간,82,アテニア,"スキンクリアクレンズオイル - 無香, 175ml",1980
2026-01-12,전체_주간,83,ブラン,トラブルケア2種セット,6880
2026-01-12,전체_주간,84,Laka,フルーティーグラムティント,1830
2026-01-12,전체_주간,85,ウェイクメイク,"シームレスウェアファンデーション, 30ml, スパチュラブラシ付き",3230
2026-01-12,전체_주간,86,ODELOI,"ブラックチェリー毛穴収縮クリームルフティグ, 100ml",2261
2026-01-12,전체_주간,87,celimax,"THEビタAレチナールショットタイトニングブースター, 15ml",2640
2026-01-12,전체_주간,88,アミューズ,ジェルフィットグロス,1760
2026-01-12,전체_주간,89,Funny Elves,ソフトマットプレストパウダー,2750
2026-01-12,전체_주간,90,アイムミミ,アイムマルチスティックデュアル,1650
2026-01-12,전체_주간,91,セラディックス,131パッケージセット,3600
2026-01-12,전체_주간,92,NAMING,フラッフィーパウダーブラッシュ,1650
2026-01-12,전체_주간,93,AOU,ソフトクリームチーク,1435
2026-01-12,전체_주간,94,オーズナリー,"ビタ３セラム, 50ml",2850
2026-01-12,전체_주간,95,SKIN1004,"センテラクイックカーミングパッド, 70枚",3135
2026-01-12,전체_주간,96,ブイディーエル,"トーンステインカラーコレクティングプライマー, 30ml",3080
2026-01-12,전체_주간,97,COSRX,"RXザ6ペプチドスキンブースターセラム, 150ml",2356
2026-01-12,전체_주간,98,ODELOI,"弱酸性毛穴収縮ニドソープ, 120g",1928
2026-01-12,전체_주간,99,ジョンセンムル,"エッセンシャルスキンヌーダークッション, 本品",3520
2026-01-12,전체_주간,100,Ytning,"リンパマッサージクリーム, 120ml",2835
2026-01-12,스킨케어_주간,1,アヌア,"PDRNヒアルロン酸カプセル100セラム, 30ml",3200
2026-01-12,스킨케어_주간,2,アヌア,"ビタミン10PORESTRIXセラム, 20ml",2800
2026-01-12,스킨케어_주간,3,アヌア,"レチノール0.3ナイアシンリニューイングセラム, 30ml",3200
2026-01-12,스킨케어_주간,4,COSRX,"RXザアルファアルブチン2ニキビ跡ケアセラム, 50ml",2356
2026-01-12,스킨케어_주간,5,ブラン,"マジックティーツリーオイル, 20ml",2790
2026-01-12,스킨케어_주간,6,"dear,Klairs","PDRNビタペプチド毛穴リペアセラム, 35ml",2600
2026-01-12,스킨케어_주간,7,スキンアンドラブ,"グルタチオントナー, 200ml",2590
2026-01-12,스킨케어_주간,8,アヌア,"ナイアシンアミド10%ダークスポットセラム, 30ml",2800
2026-01-12,스킨케어_주간,9,アヌア,"PDRNヒアルロン酸ハイドレイティングミスト, 100ml",2650
2026-01-12,스킨케어_주간,10,メディキューブ,"コウジ酸ビタナイアシントナー, 250ml",2300
2026-01-12,스킨케어_주간,11,SKIN1004,"センテラアンプル, 55ml",2375
2026-01-12,스킨케어_주간,12,アヌア,"ドクダミポアコントロールクレンジングオイル, 200ml",2300
2026-01-12,스킨케어_주간,13,ナンバーズイン,"5番 白玉グルタチオン100xTXA10集中トーニング美容液, 2個",4000
2026-01-12,스킨케어_주간,14,Redence,"トーン&スポットコレクターアンプル, 30ml",2565
2026-01-12,스킨케어_주간,15,VTコスメティックス,"PDRNカプセルクリーム100, 50ml",2200
2026-01-12,스킨케어_주간,16,Kopher,"キュリペアメラクリーム, 35ml",3700
2026-01-12,스킨케어_주간,17,ブラン,"マジックシカクリーム, 60ml",4790
2026-01-12,스킨케어_주간,18,セルフュージョンC,"コラーゲンPDRNアンプル, 35ml",3080
2026-01-12,스킨케어_주간,19,KISOCARE,"ハイドロクリームPHQ-8, 20g",1707
2026-01-12,스킨케어_주간,20,KATAN,"シカダーマヒットセラム5, 30g",3740
2026-01-12,스킨케어_주간,21,COSRX,"RXザビタミンC23セラム2世代, 20g",2546
2026-01-12,스킨케어_주간,22,イズエンツリー,"超低分子ヒアルロン酸トナー, 300ml",2420
2026-01-12,스킨케어_주간,23,アヌア,"ライスブライトニング酵素洗顔パウダー, 40g",1950
2026-01-12,스킨케어_주간,24,One-day's you,ダクトパッドセット,2650
2026-01-12,스킨케어_주간,25,AOU,"トーンアップぽよんクリーム, 100ml",1393
2026-01-12,스킨케어_주간,26,Kopher,"キュリペアSOSメルダーシステム, 1.5ml, 20本",5600
2026-01-12,스킨케어_주간,27,アヌア,"3セラミドパンテノールモイスチャーバリアクリーム, 100ml",2800
2026-01-12,스킨케어_주간,28,メディキューブ,"ゼロ毛穴パッド 2.0, 70枚",2400
2026-01-12,스킨케어_주간,29,原料工房,"アズレンブルークレンジングバーム, 100ml",2200
2026-01-12,스킨케어_주간,30,manyo,"ピュアクレンジングオイル, 200ml",2430
2026-01-12,스킨케어_주간,31,UIQ,"バイオームバリアパンテンシブクリーム, 50ml",2890
2026-01-12,스킨케어_주간,32,アテニア,"スキンクリアクレンズオイル - 無香, 175ml",1980
2026-01-12,스킨케어_주간,33,ODELOI,"ブラックチェリー毛穴収縮クリームルフティグ, 100ml",2261
2026-01-12,스킨케어_주간,34,celimax,"THEビタAレチナールショットタイトニングブースター, 15ml",2640
2026-01-12,스킨케어_주간,35,セラディックス,131パッケージセット,3600
2026-01-12,스킨케어_주간,36,オーズナリー,"ビタ３セラム, 50ml",2850
2026-01-12,스킨케어_주간,37,SKIN1004,"センテラクイックカーミングパッド, 70枚",3135
2026-01-12,스킨케어_주간,38,COSRX,"RXザ6ペプチドスキンブースターセラム, 150ml",2356
2026-01-12,스킨케어_주간,39,ODELOI,"弱酸性毛穴収縮ニドソープ, 120g",1928
2026-01-12,스킨케어_주간,40,メディキューブ,"アゼライン酸ナイアシンアミドクリアトナー, 250ml",2300
2026-01-12,스킨케어_주간,41,バイオヒールボ,"プロバイオダーム3Dリフティングクリーム, 50ml, ",3150
2026-01-12,스킨케어_주간,42,AESTURA,"アトバリア365クリームミスト, 120ml",2500
2026-01-12,스킨케어_주간,43,Kopher,"キュリペアダーマアンプル, 100ml",4800
2026-01-12,스킨케어_주간,44,manyo,"ピュアクレンジングオイル, 400ml",3880
2026-01-12,스킨케어_주간,45,COSRX,"フルフィットプロポリスシナジートナー, 150ml",1795
2026-01-12,스킨케어_주간,46,ウェルダーマ,"ティーツリースージングハーブトックスピーリングパック, 150g",2160
2026-01-12,스킨케어_주간,47,トゥヴェール,"ナノエマルジョンディープ, 60ml",3610
2026-01-12,스킨케어_주간,48,Sung Boon Editor,"シルクペプチドEGFハートフィットボリュームアンプル, 40ml",2900
2026-01-12,스킨케어_주간,49,スキンアンドラブ,"TXナイアシンエッセンストナー, 200ml",2590
2026-01-12,스킨케어_주간,50,スキンアンドラブ,"レチノールリペアセラム, 30ml",2690
2026-01-12,스킨케어_주간,51,アイオペ,"レチノールレチジェクションセラム2%, 30ml",6018
2026-01-12,스킨케어_주간,52,Sung Boon Editor,"グリーントマトNMNポアリフティングアンプル, 40ml",2900
2026-01-12,스킨케어_주간,53,ナンバーズイン,"5番 白玉グルタチオンＣ美容液, 30ml",2800
2026-01-12,스킨케어_주간,54,センテリアン24,マデカクリームシグネチャーエディション,4100
